,0
Bharat Heavy Electricals Limited,2391100000
Infosys Limited,1188000000
Ntpc Limited,984730000
Shamyak Investment Private Limited,643000000
Mmtc Limited,483400000
Northern Coalfields Limited,401400000
Gujarat Mineral Development Corporation Limited,352188000
Cairn India Limited,330100000
Thdc India Limited,259347000
Reliance Infrastructure Limited,253500000
Gagandeep Credit Capital Private Limited,250000000
Coal India Ltd Govt Of India Undertaking,242930000
Bajaj Auto Limited.,188000000
Shree Cement Limited,175600000
Sundaram -Clayton Limited,174300000
Power Grid Corporation Of India Limited,171071000
Bhushan Power & Steel Limited,162000000
Cesc Ltd,142217675
Torrent Pharmaceuticals Ltd,141900000
Jammu And Kashmir Bank Limited,137461812
Hindustan Aeronautics Limited,136963000
Piramal Finance Private Limited,119400000
Rosa Power Supply Company Limited,112800000
Bharat Forge Ltd,112190000
Cadila Healthcare Limited,108150000
Medreich Limited,108000000
Prescient Securities Private Limited,100000000
Jm Financial Institutional Securities Limited,99400000
Godrej Consumer Products Limited,98100000
Rashtriya Ispat Nigam Ltd,89993000
Muthoot Finance Limited,89207875
Uttam Galva Metallics Limited,80627774
Apollo Hospitals Enterprise Limited,77710000
Sundaram Finance Limited,76630000
Icici Bank Limited,75912830
Jsw Steel Limited,73600000
Aurobindo Pharma Ltd,70633386
Rites Limited,67000000
Nirma Limited,66200000
Vardhman Textiles Limited,60000000
Reliance Power Limited,58750000
Havells India Limited,57800000
Rural Electrification Corporation Limited,57207680
Container Corporation Of India Limited,56737000
Rajasthan State Industrial Development And Investm,56088000
Bennett Coleman And Company Limited,55000000
Hindustan Copper Ltd,54356000
Jaiprakash Power Ventures Limited,53062102
Jindal Saw Limited,52493000
Cochin Shipyard Limited,50644000
Hindustan Gum And Chemicals Limited,50000000
Cummins India Limited,49250746
Shree Ramkrishna Exports Private Limited,47156000
Cholamandalam Investment And Finance Company Limited,46143000
Godawari Power And Ispat Limited,45111000
Bharat Aluminium Co Ltd,44100000
Manappuram Finance Limited,43610000
Kone Elevator India Private Limited,42000000
Gujarat Industries Power Company Ltd.,41892000
Idfc Limited,41356289
Infina Finance Private Limited,40500002
Ajeet Seeds Private Limited,40200000
Lakshmi Machine Works Limited,38507280
Ireo Private Limited,36923530
Indiabulls Housing Finance Limited,36533659
The Supreme Industries Limited,35003000
Reliance Ports And Terminals Limited,35000000
Polaris Consulting & Services Limited,33125000
Vakrangee Limited,32125000
Microsoft India (R&D;) Private Limited,31520000
Dsp Merrill Lynch Capital Limited,31480000
Palepu Pharma Private Limited,31100000
Godfrey Phillips India Limited,30701000
Goldman Sachs Services Private Limited,30500000
Abbott India Limited,30375000
Ansal Properties And Infrastructure Limited,30000000
Tata Capital Financial Services Limited,29688000
Nhdc Limited,29502838
Oil India Limited,29500000
Emcure Pharmaceuticals Limited,29500000
Tata Housing Development Company Limited,29200000
Sun Pharmaceutical Industries Limited,28790000
Mahindra And Mahindra Financial Services Limited,28000000
Rajesh Exports Limited,27950064
Kpit Technologies Limited,27213863
Oswal Greentech Limited,27200000
Dlf Limited,27200000
Mahindra And Mahindra Limited,26700000
Bayer Cropscience Limited,26480000
Thermax Limited.,26270000
Haldex India Private Limited,26150000
Hetero Labs Limited,26100000
Nectar Life Sciences Limited,25930000
Tractors And Farm Equipment Limited.,25919000
Biocon Limited,25700000
Gmr Power Corporation Limited,25600000
Vedanta Limited,25400000
Ntpc-Sail Power Company Private Limited,25219000
Torrent Power Limited,25000000
V I P Industries Limited,25000000
Bosch Limited,24890000
Sundaram Bnp Paribas Home Finance Limited,24524000
The Andhra Sugars Limited,24505000
Noida Power Company Limited,23066875
Elgi Equipments Limited,23055000
Ttk Prestige Limited,22984291
Honeywell Turbo Technologies (India) Private Limited,22800000
Essel Mining & Industries Ltd.,22500000
Gannon Dunkerley And Company Limited,21806000
Bahadur Chand Investments Private Limited,21000000
Raj Westpower Ltd,20898766
Neon Laboratories Limited,20694000
Finolex Industries Limited,20500000
North Eastern Electric Power Corpn Ltd,20275619
Atc Tires Private Limited,20236000
Natco Pharma Limited,20173000
North Eastern Development Finance Corporation Limited,20105779
Nava Bharat Ventures Limited,19877000
Indianoil Petronas Private Limited,19700000
Adani Enterprises Limited,19600000
Panasonic India Private Limited,19569000
Trident Limited,19400000
Strides Shasun Limited,19400000
Amalgamated Plantations Private Limited,19400000
South Eastern Coalfields Limited,19357000
Ecl Finance Limited,19346989
Bilt Graphic Paper Products Limited,19300000
Nuclear Power Corporation Of India Limited,19226851
Credit Suisse Finance (India) Private Limited,19090942
Sundram Fasteners Limited,18895000
Carrier Airconditioning & Refrigeration Limited,18133333
Housing And Urban Development Corporation Limited,17800000
Solar Industries India Limited,17750000
Gujarat Power Corporation Limted,17000000
Wapcos Limited,16976423
Kalpataru Power Transmission Limited,16836000
Tata Consultancy Services Limited,16800000
Bharat Dynamics Limited,16743000
Upl Limited,16700000
Adani Gas Limited,16600000
Indofil Industries Limited,16600000
Te Connectivity India Private Limited,16460249
Ccl Products (India) Limited,16269000
Astral Poly Technik Limited,16000000
Peninsula Land Limited,15800000
Hewlett-Packard Globalsoft Private Limited,15449152
Kothari Products Limited.,15210426
Mulberry Silks Limited,15176000
Indusind Bank Ltd.,15050000
Ratnamani Metals And Tubes Limited,15000000
Gharda Chemicals Limited,14990000
Laurus Labs Private Limited,14862835
Kitex Garments Limited,14814213
Gujarat Energy Transmission Corporation Limited,14779674
Ambuja Neotia Holdings Private Limited,14679167
Cummins Research And Technology India Private Limited,14522314
Ajanta Private Limited,14389536
Navneet Education Limited,14300000
Bilakhia Holdings Private Limited,14300000
Kitex Childrenswear Limited,14290320
Elecon Engineering Company Limited,14192000
Bajaj Resources Limited,14000000
L & T Finance Limited,13980060
India Infrastructure Finance Company Limited,13900000
Solverminds Solutions And Technologies Private Limited,13894927
Radico Khaitan Limited,13874497
Cyient Limited,13830000
Shriram Transport Finance Company Limited,13825000
Srei Infrastructure Finance Limited,13745962
India Infoline Finance Limited,13700000
Jaiprakash Associates Limited,13500000
West Bengalstate Electricity Transmission Company Limited,13500000
Gruh Finance Limited,13340522
Abi-Showatech (India) Limited,13147000
Gujarat Tea Processors And Packers Limited,13077000
Housing Development Finance Corporation Limited,12900000
Zydus Wellness Limited,12900000
Johnson Lifts Private Limited,12800000
Bajaj Energy Limited,12800000
Novartis India Limited,12700000
Indo-Mim Private Limited,12600000
Tata Investment Corporation Limited,12500000
Hyundai Motor India Limited,12460000
Ganesh Housing Corporation Limited,12264317
Thyssenkrupp Industries India Private Limited,12140000
Alkem Laboratories Limited,12000000
Life Style International Private Limited,12000000
S.G.P.Exim Private Limited,11700000
Agarwal Coal Corporation Private Limited,11520000
Puravankara Projects Limited,11500000
Indian National Press (Bombay) Private Limited,11500000
Unitedhealth Group Information Services Private Limited,11200000
Buhler (India) Private Limited,11045624
Ansal Housing And Construction Limited,11025000
Jyoti Ceramic Industries Private Limited,11000000
Power Finance Corporation Limited,10970000
Jms Mining Services Private Limited,10800000
Roquette Riddhi Siddhi Private Limited,10700000
Wells Fargo India Solutions Private Limited,10667280
Vaibhav Global Limited,10648002
Anu Projects Consultants And Engineers Pvt Ltd,10510000
Tata Elxsi Limited,10508000
Srs Limited,10431895
Muthoot Fincorp Limited,10357379
The Sandur Manganese And Iron Ores Limited,10291000
Dishman Pharmaceuticals And Chemicals Limited,10250000
Adani Wilmar Limited,10220000
Heg Limited,10157000
Franklin Templeton Asset Management (India) Private Limited,10134305
Kaveri Seed Company Ltd.,10115105
Bny Mellon International Operations (India) Private Limited,10093483
Assam Petro Chemicals Ltd,10081108
Hetero Drugs Limited,10077582
Economic Explosives Limited,10027000
Vijay Television Private Limited,10000000
Maithan Alloys Ltd.,10000000
Jivraj Tea Limited,10000000
Hubtown Limited,10000000
Garware Bestretch Limited,10000000
L&T; Infrastructure Finance Company Limited,10000000
Smartwheels Private Limited,10000000
Srei Equipment Finance Limited,9875000
Ferromatik Milacron India Private Limited,9833490
Gabriel India Limited,9740000
Ambience Private Limited,9700000
Pnc Infratech Limited,9500000
Century Enka Limited,9413000
Sable Waghire And Co Private Limited,9400000
Lucas Tvs Limited,9400000
Gujarat Alkalies And Chemicals Limited,9393160
Harirani Investment And Trading Private Limited,9300000
Sterlite Technologies Limited,9289000
Mmtc - Pamp India Private Limited,9269000
Sabic India Private Limited,9260000
J B Chemicals And Pharmaceuticals Limited,9250000
Power System Operation Corporation Limited,9212158
Ambika Cotton Mills Limited,9100858
Reliance Industries Limited,9000000
Russell Credit Ltd,9000000
Bachhraj And Company Private Limited,9000000
Dow Agrosciences India Private Limited,8969740
Apollo Trading And Finance Private Limited,8950000
Vadinar Power Company Limited,8900000
Praj Industries Limited,8859358
Future Gaming And Hotel Services Private Limited,8851270
Poddar Tyres Limited,8788000
Ibc Knowledge Park Private Limited,8767987
Kotak Mahindra Bank Limited,8728000
Kpmg Global Services Private Limited,8584600
Express Newspapers Private Limited,8534006
Tvs Srichakra Limited,8400000
Ramco Industries Limited,8295000
Hitachi Consulting Software Services India Private Limited,8180028
My Home Constructions Private Limited,8000000
Bbl Daido Private Limited,8000000
Broadridge Financial Solutions (India) Private Limited,8000000
Menzies Aviation Bobba (Bangalore) Private Limited,7923000
Genus Power Infrastructures Limited,7900000
Nandan Denim Limited,7828359
Hsbc Electronic Data Processing India Private Limited,7764733
Msp Metallics Limited,7743000
Dcm Shriram Limited,7700000
Jsw Energy Limited,7700000
Crescent Power Limited,7700000
Vrs Foods Limited,7608000
Mobis India Limited,7606417
Excel Crop Care Ltd,7595000
Nvidia Graphics Private Limited,7588950
L G Balakrishnan & Bros Limited,7555000
Tafe Motors And Tractors Limited,7500000
Balkrishna Industries Limited,7500000
Usv Private Limited,7500000
R S Software (India) Ltd.,7500000
Om Metals Infraprojects Limited,7500000
A K Capital Services Limited,7500000
Superhouse Limited,7455778
Koch Chemical Technology Group India Private Limited,7403891
Cochin Minerals And Rutile Ltd,7401734
Citicorp Finance (India) Limited,7400000
Hi-Tech Systems & Services Ltd.,7306717
Pipavav Railway Corporation Limited,7239345
Synopsys (India) Private Limited,7211899
United Breweries Limited,7175000
Gateway Rail Freight Limited,7174021
Spectrum Dyes And Chemicals Private Limited,7150000
Entertainment Network (India) Limited,7143200
Comviva Technologies Limited,7100000
Kerala State Backward Classes Development Corporation Limited,7100000
Odisha Power Generation Corporation Limited,7089097
Electronics Corporation Of India Limited,7031000
Venkys (India) Limited,7000000
Harsha Engineers Limited,7000000
Taqa Neyveli Power Company Private Limited,6951838
South City Projects (Kolkata) Limited,6932000
Mercedes-Benz Research And Development India Private Limited,6909247
Essar Ports Limited,6861000
Fleetguard Filters Private Limited,6791000
Kennametal India Limited,6772000
Bhairavnath Sugar Works Limited,6716000
Qrg Enterprises Limited.,6700000
Archean Chemical Industries Private Limited,6561045
Meril Life Sciences Private Limited,6500000
Jamnalal Sons Private Limited,6500000
Anmol Biscuits Ltd,6485000
Cochin International Airport Limited,6427993
Clix Capital Services Private Limited,6363000
Darcl Logistics Limited,6351000
Riviera Home Furnishings Private Limited,6351000
Cera Sanitaryware Limited,6322000
Infrastructure Leasing And Financial Services Limited,6286842
Credit Suisse Services (India) Private Limited,6136580
Aparna Constructions And Estates Private Limited,6125000
Bharti Airtel Limited,6100000
Joy Global (India) Limited,6100000
Gujarat Pipavav Port Limited,6041671
Vardhman Acrylics Limited,6037500
Biba Apparels Private Limited,6034530
Steel Strips Wheels Ltd,6034000
Asian Hotels (East) Limited,6000000
Gsp Crop Science Private Limited,5998000
Au Financiers (India) Limited,5990367
Hindustan Media Ventures Limited,5900000
Jhajjar Power Limited.,5894974
Sandhar Technologies Limited,5796000
Panama Petrochem Limited,5777620
Atlas Copco (India) Limited,5770000
Hyderabad Race Club,5757000
Mercedes-Benz India Private Limited,5740000
Arjav Diamonds (India) Private Limited,5700000
D. E. Shaw India Private Limited,5603789
Agrocel Industries Private Limited,5502673
Eros International Media Limited,5500000
Kirloskar Industries Limited,5500000
Tvs Logistics Services Limited,5464000
The Metal Powder Company Limited,5446000
Lord India Private Limited,5425000
Exxonmobil Company India Private Limited,5420000
Saregama India Limited,5400000
Rotex Manufacturers And Engineers Private Limited,5400000
Vem Technologies Private Limited,5400000
Kanam Latex Industries Pvt Ltd,5393350
Centurylink Technologies India Private Limited,5363670
Sukhjit Starch And Chemicals Ltd,5351000
Subros Limited,5331000
Powerlinks Transmission Limited,5315000
Motilal Oswal Financial Services Limited,5290000
Pec Limited,5247000
Ampo Valves India Private Limited,5208546
Novartis Healthcare Private Limited,5200000
Sri Dhanalakshmi Cotton And Rice Mills Private Limited,5200000
Camlin Fine Sciences Limited,5176000
J G Hosiery Private Limited,5163000
Rajasthan Global Securities Private Limited,5151140
Goldman Sachs (India) Finance Private Limited,5100000
Malabar Cements Ltd,5100000
Adani Infra (India) Limited,5100000
Ppn Power Generating Company Private Limited,5100000
Britannia Industries Ltd,5100000
Globe Fincap Limited.,5000000
Aesthetic Builders Private Limited,5000000
Lifestar Pharma Private Limited,5000000
Bajaj Finance Limited,5000000
Vardhman Yarns And Threads Limited,5000000
Pricewaterhousecoopers Private Limited,5000000
Hillways Construction Company Private Limited,5000000
Hinduja Realty Ventures Limited,5000000
Valdel Engineers And Constructors Private Limited,5000000
Cliantha Research Limited,5000000
Godrej Agrovet Limited,5000000
Kusum Healthcare Private Limited,5000000
Rda Holdings Private Limited,5000000
Gvk Biosciences Private Limited,5000000
Baramati Agro Limited,5000000
Navin Fluorine International Limited,4982000
Sree Rayalaseema Alkalies And Allied Chemicals Ltd,4977723
Boeing International Corporation India Private Limited,4974082
Bhaskar Industries Private Limited,4954000
Cerner Healthcare Solutions Private Limited,4906474
Crest Steel And Power Private Limited,4900000
Fresenius Kabi Oncology Limited,4893000
J. P. Morgan Services India Private Limited,4859180
Aachi Masala Foods Private Limited,4735000
Pricewaterhousecoopers Service Delivery Center (Kolkata) Private Limited,4725000
Gmr Airports Limited,4721000
Avanti Feeds Limited,4718000
Srf Limited,4709000
Ankit Gems Private Limited,4700000
Bhageria Industries Limited,4700000
Eaton Industries Private Limited,4682000
Ocean Sparkle Limited,4680000
My Home Industries Private Limited,4668000
Fullerton India Credit Company Limited,4654079
L&T; Finance Holdings Limited,4624960
The South Indian Bank Limited,4613000
Kumar Properties And Real Estate Private Limited,4610000
Laxmi Civil Enginnering Services Private Limited,4600000
Escorts Limited,4600000
India Motor Parts & Accessories Limited,4575000
Mita India Private Limited,4548000
Jbm Auto Limited,4528000
Bhoruka Power Corporation Limited,4500000
Sledgehammer Oil Tools Private Limited.,4500000
Rci India Private Limited,4500000
Kirloskar Brothers Investments Limited,4500000
B.V. Bio-Corp Private Limited,4500000
Kirloskar Brothers Limited,4500000
Oriflame India Private Limited,4500000
Sqs India Bfsi Limited,4455725
Mayur Uniquoters Limited,4454000
Ankur Seeds Pvt Ltd,4453871
Triburg Consultants Private Limited,4450000
Johnson Matthey Chemicals India Private Limited,4388900
Sigma Freudenberg Nok Pvt Ltd,4378000
West Bengal Infrastructure Development Finance Corpn Ltd (Wbgovt Company),4350000
Eimco Elecon (India ) Limited,4323000
Godhani Gems Private Limited,4300000
Pitti Laminations Limited,4273437
Synthite Industries Limited,4265000
Warren Tea Limited,4260000
Tata Autocomp Hendrickson Suspensions Private Limited,4258363
Tata Toyo Radiator Limited,4219000
Caplin Point Laboratories Limited,4210000
Cleartrail Technologies Private Limited,4201000
Lanco Kondapalli Power Limited,4200000
Merino Panel Products Ltd,4200000
Gujarat State Investment Limited,4199636
Zensar Technologies Limited,4194000
Shri Bajrang Power And Ispat Limited,4152819
K P Sanghvi International Private Limited,4150000
Altruist Technologies Private Limited,4121000
Manipal Global Education Services Private Limited,4100000
Hsbc Investdirect Financial Services (India) Limited,4086858
Passionate Investment Management Private  Limited,4070000
Rockman Industries Limited,4059000
Nyk Line (India) Private Limited,4042000
Nikon India Private Limited,4041000
Mazagon Dock Shipbuilders Limited,4032000
Sansera Engineering Private Limited,4020000
Akzo Nobel India Limited,4020000
Hinduja Ventures Limited,4010000
Cd Equifinance Private Limited,4000000
Minix Holdings Private Limited,4000000
Plastiblends India Limited,4000000
Delphi-Tvs Diesel Systems Limited,4000000
Sbi Capital Markets Limited,4000000
Rational Art And Press Private Limited,4000000
Jocil Limited,4000000
Kalamandir Jewellers Limited,4000000
Bs & B Safety Systems (India) Limited,4000000
Aradhana Investments Ltd,4000000
Gati-Kintetsu Express Private Limited,3980000
My Healthskape Medicals Private Limited,3964965
Kec International Limited,3950000
Hughes Communications India Limited,3939000
Chennai Radha Engineering Works Private Limited,3937000
Rajasthan Electronics And Instruments Ltd,3920000
C R I Pumps Private Limited,3904960
Camphor And Allied Products Ltd,3900000
Ttk Healthcare Limited,3900000
Sakthi Auto Component Limited,3897000
Dee Development Engineers Limited,3891000
India Index Services And Products Limited,3889414
Lakshmi Ring Travellers (Coimbatore) Limited,3879242
Sterling Abrasives Limited,3852000
Centum Electronics Limited,3820000
Venco Research And Breeding Farm Private  Limited,3810000
The Bombay Dyeing And Manufacturing Company Limited,3800000
Bses Yamuna Power Limited,3800000
NEO CORP INTERNATIONAL LIMITED,3800000
C.T.R. Manufacturing Industries Limited,3779000
Kirloskar Ferrous Industries Ltd,3757689
Treadsdirect Limited,3750000
Elgi Rubber Company Limited,3750000
Reliance Ventures Limited,3744000
Citrix R&D; India Private Limited,3740032
Western India Forgings Pvt Ltd,3727000
Gerdau Steel India Private Limited,3700000
Anjana Software Solutions Private Limited,3700000
Foseco India Limited,3656000
Jsw Infrastructure Limited,3650000
Suven Life Sciences Limited,3636651
Jinabakul Forge Private Limited,3610000
Sabic Research And Technology Private Limited,3599667
Muthoot Capital Services Limited,3598069
Mahindra Intertrade Limited,3586489
Jaigad Powertransco Limited,3570341
Amaravathi Textiles Pvt Ltd,3555000
Blackberry India Private Limited,3554647
Aparna Infrahousing Private Limited (Part Ix ),3550000
Biochem Pharmaceutical Industries Limited Part Ix,3550000
Invesco (Hyderabad) Private Limited,3531000
Copal Research India Private Limited,3527185
J. M. Huber India Private Limited,3507270
Nec Technologies India Private Limited,3500000
J Mitra And Co Private Limited,3500000
Miot Hospitals Private Limited,3500000
Deutsche Investments India Private Limited,3500000
Nitin Spinners Limited,3495000
D S Kulkarni Developers Ltd,3425000
Western Outdoor Interactive Private Limited,3414000
Hinduja National Power Corporation Ltd,3399000
Mahindra Cie Automotive Limited,3390000
Morarjee Textiles Limited,3370941
Va Tech Wabag Limited,3330000
National Engineering Industries Limited,3329000
Sigma Aldrich Chemicals Private Limited,3318167
Momentive Performance Materials (India) Private Limited,3308940
Juniper Networks India Private Limited,3301778
Ht Media Limited,3300000
Sumeet Industries Limited,3300000
Praj Hipurity Systems Limited,3278000
India Ratings And Research Private Limited,3250000
Lakshmi Cargo Company Limited,3250000
Prokarma Softech Private Limited,3243410
Uflex Limited,3237000
Synchrony International Services Private Limited,3225000
Gmr Vemagiri Power Generation Limited,3208000
E-Infochips Limited,3200000
Chennai Container Terminal Private Limited,3190000
Rabo India Finance Limited,3176020
Amnet Systems Private Limited,3169626
The Peerless General Finance & Investment Co Ltd,3168000
Ats Elgi Limited,3150000
Fidelity Business Services India Private Limited,3140000
Amba Research (India) Private Limited,3132036
Rossell India Limited,3129000
Bobst India Private Limited,3125000
Granules India Limited,3097000
Manish Packaging Private Limited,3093000
T P Roy Chowdhury & Co Private Limited,3085000
Rashtriya Chemicals And Fertilizers Limited,3064000
Head Infotech India Pvt Ltd,3050000
Scope International Private Limited,3045000
M.N. Dastur & Company (P) Ltd.,3039000
Den Satellite Network Private Limited,3010000
Apeejay Tea Limited,3000000
P N Gadgil Jewellers Private Limited,3000000
Neptunus Power Plant Services Private Limited,3000000
Jk Tyre & Industries Limited,3000000
Tata Global Beverages Limited,3000000
Tree House Education & Accessories Limited,3000000
National Steel And Agro Industries Limited,3000000
Kabra Extrusion Technik Ltd,3000000
Antique Finance Private Limited,3000000
Ansal Buildwell Limited,3000000
Lumax Auto Technologies Limited,2992000
Ruchi Soya Industries Limited,2985000
Credit Information Bureau (India) Limited,2981000
Sical Multimodal And Rail Transport Limited,2981000
Parle Biscuits Private Limited,2978000
Ekta Housing Private Limited,2971000
Dell Business Process Solutions India Private Limited,2964372
Lakeshore Hospital And Research Centre Limited,2951000
International Conveyors Ltd.,2950000
Lmj International Ltd.,2931500
Sonata Software Limited,2922000
Apollo Gleneagles Hospital Limited,2920000
Nocil Limited,2918000
Mangalore Sez Limited,2900000
Bhavya Cements Limited,2900000
National Stock Exchange Of India Ltd.,2900000
Gujarat State Petronet Limited,2880900
Euro Footwear Private Limited,2872668
Tieto Software Technologies Limited,2870000
Ashirvad Pipes Private Limited,2869209
Statestreet Global Advisors India Private Limited,2850000
Newgen Knowledge Works Private Limited,2845068
Munjal Showa Limited,2833032
Societe Generale Global Solution Centre Private Li,2829000
Symbiotec Pharmalab Private Limited,2824133
Tata Capital Housing Finance Limited,2819000
